category,source,copy,sha256,bytes,status,adaptation_notes
Obsidian_and_Documents,Z:\_Theophysics_v3\00_SYSTEM\01_ENGINE\03_VAULT_TOOLS\apply_ring3_links.py,Obsidian_and_Documents\01_ENGINE\03_VAULT_TOOLS\apply_ring3_links.py,3c61752d209c3362201ba642101fe52187a500e1336919d78f17ba5cdb7bd623,31942,REFERENCE_ONLY_NOT_RUN,machine-specific path references; writes files; check overwrite behavior
Obsidian_and_Documents,Z:\_Theophysics_v3\00_SYSTEM\01_ENGINE\03_VAULT_TOOLS\apply_ring3_links_AE.py,Obsidian_and_Documents\01_ENGINE\03_VAULT_TOOLS\apply_ring3_links_AE.py,442f207dba5cab6a0c1444165cb621a17ab743d3580711e3a6755013606dec4e,29353,REFERENCE_ONLY_NOT_RUN,machine-specific path references; writes files; check overwrite behavior
Obsidian_and_Documents,Z:\_Theophysics_v3\00_SYSTEM\01_ENGINE\03_VAULT_TOOLS\apply_ring3_links_BR.py,Obsidian_and_Documents\01_ENGINE\03_VAULT_TOOLS\apply_ring3_links_BR.py,62b2390218e8f1700a931ebe876ce5fde0a6eea936062dbbf30504c2d44f891b,21609,REFERENCE_ONLY_NOT_RUN,machine-specific path references; writes files; check overwrite behavior
Obsidian_and_Documents,Z:\_Theophysics_v3\00_SYSTEM\01_ENGINE\03_VAULT_TOOLS\apply_ring3_links_FM.py,Obsidian_and_Documents\01_ENGINE\03_VAULT_TOOLS\apply_ring3_links_FM.py,715e466d3b2db9a31cce1ebeb6cecde920a94aa0a5a95b7540fd09291d0a1d90,12689,REFERENCE_ONLY_NOT_RUN,machine-specific path references; writes files; check overwrite behavior
Obsidian_and_Documents,Z:\_Theophysics_v3\00_SYSTEM\01_ENGINE\03_VAULT_TOOLS\archive_and_relocate.py,Obsidian_and_Documents\01_ENGINE\03_VAULT_TOOLS\archive_and_relocate.py,5afdc2ca4e467c6cb03e15f13f34b35c477236ea2138ef2ea75793207893487b,8225,REFERENCE_ONLY_NOT_RUN,machine-specific path references; contains move/rename/delete operations; writes files; check overwrite behavior
Obsidian_and_Documents,Z:\_Theophysics_v3\00_SYSTEM\01_ENGINE\03_VAULT_TOOLS\canonical_downloader.py,Obsidian_and_Documents\01_ENGINE\03_VAULT_TOOLS\canonical_downloader.py,210af861fc24ee20bc965c6f92665213b997cc9a38d7179430be9ccdaee5f815,10822,REFERENCE_ONLY_NOT_RUN,machine-specific path references; writes files; check overwrite behavior
Obsidian_and_Documents,Z:\_Theophysics_v3\00_SYSTEM\01_ENGINE\03_VAULT_TOOLS\canonical_link_fixer.py,Obsidian_and_Documents\01_ENGINE\03_VAULT_TOOLS\canonical_link_fixer.py,ea411085378184f3020cee058c432312bc28cfb89f031a4f43bc872ddc0175a1,6404,REFERENCE_ONLY_NOT_RUN,machine-specific path references; writes files; check overwrite behavior
Obsidian_and_Documents,Z:\_Theophysics_v3\00_SYSTEM\01_ENGINE\03_VAULT_TOOLS\canonical_outbound_linker.py,Obsidian_and_Documents\01_ENGINE\03_VAULT_TOOLS\canonical_outbound_linker.py,473e4033c281bb6ea9424481faa4d75f0514a48d98fbaed3d9fb917e26db74ef,8961,REFERENCE_ONLY_NOT_RUN,machine-specific path references; writes files; check overwrite behavior
Obsidian_and_Documents,Z:\_Theophysics_v3\00_SYSTEM\01_ENGINE\03_VAULT_TOOLS\canonical_urls.csv,Obsidian_and_Documents\01_ENGINE\03_VAULT_TOOLS\canonical_urls.csv,42699cd02d915743ed2f38c97651c64a2c597cd51d6f4351996ffe0119ab7872,9944,REFERENCE_ONLY_NOT_RUN,Review dependencies and inputs before enabling
Obsidian_and_Documents,Z:\_Theophysics_v3\00_SYSTEM\01_ENGINE\03_VAULT_TOOLS\cleanup_all_theories.py,Obsidian_and_Documents\01_ENGINE\03_VAULT_TOOLS\cleanup_all_theories.py,7237f261ead6a66b80c6460d6c1a6c50e4fd766dd84e717533d92d0a05e7fd86,6772,REFERENCE_ONLY_NOT_RUN,machine-specific path references
